Actual,Predicted
22.3,22.840635
12.01,12.040986
21.47,20.883535
12.500000000000002,12.782503
13.990000000000002,13.24452
15.16,14.272088
14.950000000000001,15.549046
21.61,21.57779
9.09,9.442201
19.09,18.867805
20.49,20.381788
22.18,22.458252
21.38,21.213577
20.14,20.8936
20.15,20.184069
10.33,10.747773
22.33,22.53667
20.38,20.455273
10.39,10.29586
13.32,12.904967
15.9,15.40661
25.56,25.89857
18.41,18.618736
8.39,8.910468
22.46,22.276627
23.89,23.798565
21.82,22.00487
20.89,20.87237
6.56,7.5269437
16.48,15.638505
19.29,19.052479
21.3,21.128887
21.44,21.134556
22.01,21.641739
16.16,15.994029
7.180000000000001,8.0840845
21.94,22.148245
19.31,18.72951
21.07,20.965881
19.67,19.534222
15.280000000000001,16.138435
20.35,21.351496
15.34,14.687174
14.119999999999997,14.467603
22.42,22.515495
20.65,20.478224
18.18,17.67152
8.8,8.785986
10.01,10.409352
14.940000000000001,14.702267
22.1,21.955416
19.38,19.737234
16.86,16.484238
19.44,19.301283
22.75,23.178354
24.26,25.273075
8.09,8.614533
21.2,21.281862
9.36,9.546525
5.47,6.1667476
22.61,23.319172
13.22,13.14592
4.49,5.946852
23.47,23.374493
7.779999999999999,7.811297
25.009999999999998,24.42455
20.17,20.952503
21.76,22.43531
18.71,18.080692
17.39,18.033241
9.51,9.298872
22.35,22.567747
20.58,21.055159
16.88,15.774354
13.970000000000002,15.251665
19.76,19.46526
16.38,15.78126
13.22,13.450949
19.3,20.621992
23.49,24.076933
21.39,21.363243
17.22,17.170317
12.480000000000002,12.444517
5.34,6.2554135
17.43,16.93381
7.789999999999999,8.044793
13.69,13.407363
20.16,19.839603
19.54,19.568924
10.04,10.210942
19.3,18.826002
19.28,18.563526
11.71,11.280966
8.61,9.036587
19.47,19.825445
14.360000000000001,14.38811
22.57,23.240818
18.96,19.01065
17.01,15.561209
18.47,18.999691
20.15,20.400288
9.98,9.633646
16.0,16.171293
23.92,24.715042
8.8,8.630016
21.98,21.941845
11.86,12.395501
12.23,12.562026
13.21,12.604479
18.86,18.762344
19.07,19.498518
10.0,10.337495
16.65,16.64209
18.58,19.09291
16.73,18.0061
24.66,24.31559
14.15,12.993507
14.47,13.504435
20.36,20.463337
20.56,20.70272
21.39,21.357643
22.61,22.290413
21.36,20.776424
21.64,21.040705
7.470000000000001,7.932104
20.6,20.346016
15.43,15.551409
20.89,21.22806
13.04,13.182064
17.68,17.872946
22.27,23.025078
15.470000000000002,15.404187
22.46,22.17126
22.74,23.63901
17.21,17.115477
27.0,26.112747
20.4,20.624096
19.25,19.21905
21.0,21.738598
21.84,22.35501
9.48,9.766093
17.02,17.158474
14.6,13.21178
21.08,21.398804
7.029999999999999,7.7644234
21.28,20.897871
20.7,20.833181
17.43,17.125206
21.74,22.856062
12.96,14.420186
18.93,18.92653
24.37,24.163149
13.430000000000001,13.510987
21.36,21.64581
20.17,20.510971
22.55,23.021597
16.1,16.266644
24.74,25.300837
15.91,16.172993
14.82,14.713174
21.39,21.146212
16.76,16.93249
19.92,19.143724
21.37,21.297186
24.960000000000004,24.742435
12.44,13.639087
19.92,19.517609
12.16,13.123069
20.32,20.16803
20.75,21.09688
10.86,10.208668
6.889999999999999,8.435387
16.76,16.556786
21.91,22.311111
13.68,13.874662
20.03,19.538528
23.68,23.708477
21.72,21.48077
13.03,12.765989
19.6,19.549675
12.76,11.536406
16.53,16.00379
12.819999999999999,13.409373
23.96,24.22456
13.12,13.020139
15.77,15.51754
17.32,16.728909
16.42,17.334587
10.05,10.867212
19.1,19.076597
17.44,17.520325
20.69,20.35646
11.18,10.836369
7.460000000000001,6.846016
9.12,9.457436
21.03,20.045618
12.38,11.921251
22.01,21.723232
24.66,24.095074
20.71,21.456944
18.08,18.439814
12.78,11.620814
21.1,21.096819
21.8,21.617046
16.64,16.762833
14.53,14.453962
8.92,9.384625
12.08,12.225109
10.45,10.069321
19.61,19.543985
20.33,20.317003
21.55,21.86859
21.24,21.805262
21.45,21.413994
14.560000000000002,15.935611
16.72,17.309134
26.02,25.244732
12.0,12.131693
11.53,11.40111
20.46,20.259949
11.24,12.37908
23.07,22.430387
11.33,11.440903
21.37,22.548918
22.43,22.644556
13.34,13.708573
17.49,17.314127
8.64,8.755821
12.58,11.375078
7.280000000000001,7.7221355
17.68,17.072134
23.06,23.33896
18.98,18.046984
12.29,11.852266
25.23,25.94216
13.85,13.253696
16.04,16.113075
11.9,12.82714
8.07,8.276378
18.11,19.135128
23.79,23.45454
20.87,21.098175
8.52,8.866293
23.82,24.180447
17.5,17.452282
18.69,19.221518
12.609999999999998,12.312506
15.78,15.397383
16.69,16.749456
22.13,21.574684
13.47,12.69313
19.43,19.32977
21.73,22.43223
9.79,9.42277
11.18,10.368746
16.74,16.889858
10.58,11.157091
9.94,10.415033
14.77,15.447768
22.15,22.015186
9.07,8.550829
20.34,20.491407
22.21,22.08108
20.65,20.15473
19.11,19.542065
11.05,12.240768
19.12,19.442947
22.72,22.190462
16.08,16.115383
20.85,20.255272
21.34,21.170315
22.14,21.93167
20.59,20.789091
21.45,21.41099
21.17,21.596622
19.78,19.723375
22.81,23.175102
18.67,18.563276
20.11,20.408955
8.52,8.706902
20.48,20.048923
13.49,13.293672
23.79,24.256287
14.069999999999999,14.258689
20.36,20.633333
18.62,17.951683
12.79,12.78829
12.79,12.134887
19.34,19.566782
13.189999999999998,12.576069
20.93,21.508007
16.26,16.286524
13.129999999999999,12.899854
21.24,21.227665
13.25,12.820429
24.58,23.150558
7.470000000000001,7.902504
19.68,20.194407
20.4,21.147161
20.68,20.569355
21.94,22.094952
22.78,22.90888
23.53,23.789951
21.07,21.149557
11.18,10.689942
6.49,7.05086
18.32,19.325954
18.56,18.193718
20.52,20.37011
9.14,8.657927
13.12,13.424206
21.52,21.424608
23.91,24.133156
19.05,19.075098
12.470000000000002,12.389474
20.85,20.440691
18.19,18.641134
10.29,10.287955
21.46,22.145824
13.420000000000002,14.156094
3.86,5.3513002
12.2,11.718415
12.71,12.424103
12.599999999999998,12.9930725
20.6,20.569801
11.14,11.359963
20.13,20.176836
19.01,19.956007
